"TAX","GEO","TIME","UNIT","Value"
"Energy taxes","Slovenia","1998","Million units of national currency","588,89"
"Energy taxes","Slovenia","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","10,34"
"Energy taxes","Slovenia","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","10,4"
"Energy taxes","Slovenia","1998","Percentage of gross domestic product (GDP)","3,84"
"Energy taxes","Slovenia","1999","Million euro","676,09"
"Energy taxes","Slovenia","1999","Million units of national currency","548,66"
"Energy taxes","Slovenia","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,51"
"Energy taxes","Slovenia","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,55"
"Energy taxes","Slovenia","1999","Percentage of gross domestic product (GDP)","3,19"
"Energy taxes","Slovenia","2000","Million euro","524,98"
"Energy taxes","Slovenia","2000","Million units of national currency","452,63"
"Energy taxes","Slovenia","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,5"
"Energy taxes","Slovenia","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,54"
"Energy taxes","Slovenia","2000","Percentage of gross domestic product (GDP)","2,39"
"Energy taxes","Slovenia","2001","Million euro","622,28"
"Energy taxes","Slovenia","2001","Million units of national currency","566,04"
"Energy taxes","Slovenia","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,23"
"Energy taxes","Slovenia","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,27"
"Energy taxes","Slovenia","2001","Percentage of gross domestic product (GDP)","2,68"
"Energy taxes","Slovenia","2002","Million euro","658,92"
"Energy taxes","Slovenia","2002","Million units of national currency","621,35"
"Energy taxes","Slovenia","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,04"
"Energy taxes","Slovenia","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,08"
"Energy taxes","Slovenia","2002","Percentage of gross domestic product (GDP)","2,63"
"Energy taxes","Slovenia","2003","Million euro","662,76"
"Energy taxes","Slovenia","2003","Million units of national currency","646,74"
"Energy taxes","Slovenia","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,71"
"Energy taxes","Slovenia","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,75"
"Energy taxes","Slovenia","2003","Percentage of gross domestic product (GDP)","2,52"
"Energy taxes","Slovenia","2004","Million euro","698,53"
"Energy taxes","Slovenia","2004","Million units of national currency","696,92"
"Energy taxes","Slovenia","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,68"
"Energy taxes","Slovenia","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,73"
"Energy taxes","Slovenia","2004","Percentage of gross domestic product (GDP)","2,52"
"Energy taxes","Slovenia","2005","Million euro","708,79"
"Energy taxes","Slovenia","2005","Million units of national currency","708,58"
"Energy taxes","Slovenia","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,35"
"Energy taxes","Slovenia","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,39"
"Energy taxes","Slovenia","2005","Percentage of gross domestic product (GDP)","2,42"
"Energy taxes","Slovenia","2006","Million euro","728,76"
"Energy taxes","Slovenia","2006","Million units of national currency","728,62"
"Energy taxes","Slovenia","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,09"
"Energy taxes","Slovenia","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,13"
"Energy taxes","Slovenia","2006","Percentage of gross domestic product (GDP)","2,31"
"Energy taxes","Slovenia","2007","Million euro","807,38"
"Energy taxes","Slovenia","2007","Million units of national currency","807,38"
"Energy taxes","Slovenia","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,16"
"Energy taxes","Slovenia","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,2"
"Energy taxes","Slovenia","2007","Percentage of gross domestic product (GDP)","2,3"
"Energy taxes","Slovenia","2008","Million euro","880,94"
"Energy taxes","Slovenia","2008","Million units of national currency","880,94"
"Energy taxes","Slovenia","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,3"
"Energy taxes","Slovenia","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,34"
"Energy taxes","Slovenia","2008","Percentage of gross domestic product (GDP)","2,32"
"Energy taxes","Slovenia","2009","Million euro","1.059,64"
"Energy taxes","Slovenia","2009","Million units of national currency","1.059,64"
"Energy taxes","Slovenia","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,98"
"Energy taxes","Slovenia","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,04"
"Energy taxes","Slovenia","2009","Percentage of gross domestic product (GDP)","2,93"
"Energy taxes","Slovenia","2010","Million euro","1.107,35"
"Energy taxes","Slovenia","2010","Million units of national currency","1.107,35"
"Energy taxes","Slovenia","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,16"
"Energy taxes","Slovenia","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,23"
"Energy taxes","Slovenia","2010","Percentage of gross domestic product (GDP)","3,05"
"Energy taxes","Slovenia","2011","Million euro","1.071,56"
"Energy taxes","Slovenia","2011","Million units of national currency","1.071,56"
"Energy taxes","Slovenia","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,85"
"Energy taxes","Slovenia","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,91"
"Energy taxes","Slovenia","2011","Percentage of gross domestic product (GDP)","2,9"
"Energy taxes","Slovenia","2012","Million euro","1.187,07"
"Energy taxes","Slovenia","2012","Million units of national currency","1.187,07"
"Energy taxes","Slovenia","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,8"
"Energy taxes","Slovenia","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,88"
"Energy taxes","Slovenia","2012","Percentage of gross domestic product (GDP)","3,29"
"Energy taxes","Slovenia","2013","Million euro","1.204,5"
"Energy taxes","Slovenia","2013","Million units of national currency","1.204,5"
"Energy taxes","Slovenia","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,98"
"Energy taxes","Slovenia","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","9,06"
"Energy taxes","Slovenia","2013","Percentage of gross domestic product (GDP)","3,32"
"Energy taxes","Slovenia","2014","Million euro","1.223,3"
"Energy taxes","Slovenia","2014","Million units of national currency","1.223,3"
"Energy taxes","Slovenia","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,85"
"Energy taxes","Slovenia","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,93"
"Energy taxes","Slovenia","2014","Percentage of gross domestic product (GDP)","3,25"
"Energy taxes","Slovenia","2015","Million euro","1.271,08"
"Energy taxes","Slovenia","2015","Million units of national currency","1.271,08"
"Energy taxes","Slovenia","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,87"
"Energy taxes","Slovenia","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,94"
"Energy taxes","Slovenia","2015","Percentage of gross domestic product (GDP)","3,27"
"Energy taxes","Slovenia","2016","Million euro","1.326,14"
"Energy taxes","Slovenia","2016","Million units of national currency","1.326,14"
"Energy taxes","Slovenia","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,87"
"Energy taxes","Slovenia","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,94"
"Energy taxes","Slovenia","2016","Percentage of gross domestic product (GDP)","3,29"
"Energy taxes","Slovenia","2017","Million euro","1.359,13"
"Energy taxes","Slovenia","2017","Million units of national currency","1.359,13"
"Energy taxes","Slovenia","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","8,59"
"Energy taxes","Slovenia","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","8,66"
"Energy taxes","Slovenia","2017","Percentage of gross domestic product (GDP)","3,16"
"Energy taxes","Slovakia","1995","Million euro","313,06"
"Energy taxes","Slovakia","1995","Million units of national currency","403,87"
"Energy taxes","Slovakia","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,18"
"Energy taxes","Slovakia","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,19"
"Energy taxes","Slovakia","1995","Percentage of gross domestic product (GDP)","2,05"
"Energy taxes","Slovakia","1996","Million euro","313,36"
"Energy taxes","Slovakia","1996","Million units of national currency","404,87"
"Energy taxes","Slovakia","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,76"
"Energy taxes","Slovakia","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,77"
"Energy taxes","Slovakia","1996","Percentage of gross domestic product (GDP)","1,84"
"Energy taxes","Slovakia","1997","Million euro","343,45"
"Energy taxes","Slovakia","1997","Million units of national currency","434,51"
"Energy taxes","Slovakia","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,85"
"Energy taxes","Slovakia","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,86"
"Energy taxes","Slovakia","1997","Percentage of gross domestic product (GDP)","1,78"
"Energy taxes","Slovakia","1998","Million euro","337,9"
"Energy taxes","Slovakia","1998","Million units of national currency","443,5"
"Energy taxes","Slovakia","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,59"
"Energy taxes","Slovakia","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,59"
"Energy taxes","Slovakia","1998","Percentage of gross domestic product (GDP)","1,66"
"Energy taxes","Slovakia","1999","Million euro","341,34"
"Energy taxes","Slovakia","1999","Million units of national currency","499,93"
"Energy taxes","Slovakia","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,01"
"Energy taxes","Slovakia","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,02"
"Energy taxes","Slovakia","1999","Percentage of gross domestic product (GDP)","1,75"
"Energy taxes","Slovakia","2000","Million euro","435,99"
"Energy taxes","Slovakia","2000","Million units of national currency","616,54"
"Energy taxes","Slovakia","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,76"
"Energy taxes","Slovakia","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,77"
"Energy taxes","Slovakia","2000","Percentage of gross domestic product (GDP)","1,95"
"Energy taxes","Slovakia","2001","Million euro","405,33"
"Energy taxes","Slovakia","2001","Million units of national currency","582,59"
"Energy taxes","Slovakia","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,17"
"Energy taxes","Slovakia","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,18"
"Energy taxes","Slovakia","2001","Percentage of gross domestic product (GDP)","1,7"
"Energy taxes","Slovakia","2002","Million euro","491,1"
"Energy taxes","Slovakia","2002","Million units of national currency","695,98"
"Energy taxes","Slovakia","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,67"
"Energy taxes","Slovakia","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,68"
"Energy taxes","Slovakia","2002","Percentage of gross domestic product (GDP)","1,87"
"Energy taxes","Slovakia","2003","Million euro","634,7"
"Energy taxes","Slovakia","2003","Million units of national currency","874,1"
"Energy taxes","Slovakia","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,45"
"Energy taxes","Slovakia","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,47"
"Energy taxes","Slovakia","2003","Percentage of gross domestic product (GDP)","2,11"
"Energy taxes","Slovakia","2004","Million euro","762,36"
"Energy taxes","Slovakia","2004","Million units of national currency","1.012,78"
"Energy taxes","Slovakia","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,92"
"Energy taxes","Slovakia","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,95"
"Energy taxes","Slovakia","2004","Percentage of gross domestic product (GDP)","2,2"
"Energy taxes","Slovakia","2005","Million euro","820,28"
"Energy taxes","Slovakia","2005","Million units of national currency","1.050,99"
"Energy taxes","Slovakia","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,63"
"Energy taxes","Slovakia","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,65"
"Energy taxes","Slovakia","2005","Percentage of gross domestic product (GDP)","2,08"
"Energy taxes","Slovakia","2006","Million euro","886,07"
"Energy taxes","Slovakia","2006","Million units of national currency","1.095,13"
"Energy taxes","Slovakia","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,63"
"Energy taxes","Slovakia","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,66"
"Energy taxes","Slovakia","2006","Percentage of gross domestic product (GDP)","1,95"
"Energy taxes","Slovakia","2007","Million euro","1.004,23"
"Energy taxes","Slovakia","2007","Million units of national currency","1.125,87"
"Energy taxes","Slovakia","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,1"
"Energy taxes","Slovakia","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,13"
"Energy taxes","Slovakia","2007","Percentage of gross domestic product (GDP)","1,79"
"Energy taxes","Slovakia","2008","Million euro","1.156,77"
"Energy taxes","Slovakia","2008","Million units of national currency","1.200,39"
"Energy taxes","Slovakia","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,03"
"Energy taxes","Slovakia","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,05"
"Energy taxes","Slovakia","2008","Percentage of gross domestic product (GDP)","1,75"
"Energy taxes","Slovakia","2009","Million euro","1.072,9"
"Energy taxes","Slovakia","2009","Million units of national currency","1.072,9"
"Energy taxes","Slovakia","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,79"
"Energy taxes","Slovakia","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,82"
"Energy taxes","Slovakia","2009","Percentage of gross domestic product (GDP)","1,68"
"Energy taxes","Slovakia","2010","Million euro","1.077,03"
"Energy taxes","Slovakia","2010","Million units of national currency","1.077,03"
"Energy taxes","Slovakia","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,65"
"Energy taxes","Slovakia","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,69"
"Energy taxes","Slovakia","2010","Percentage of gross domestic product (GDP)","1,59"
"Energy taxes","Slovakia","2011","Million euro","1.114,03"
"Energy taxes","Slovakia","2011","Million units of national currency","1.114,03"
"Energy taxes","Slovakia","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,49"
"Energy taxes","Slovakia","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,53"
"Energy taxes","Slovakia","2011","Percentage of gross domestic product (GDP)","1,58"
"Energy taxes","Slovakia","2012","Million euro","1.089,95"
"Energy taxes","Slovakia","2012","Million units of national currency","1.089,95"
"Energy taxes","Slovakia","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,28"
"Energy taxes","Slovakia","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,31"
"Energy taxes","Slovakia","2012","Percentage of gross domestic product (GDP)","1,5"
"Energy taxes","Slovakia","2013","Million euro","1.099,98"
"Energy taxes","Slovakia","2013","Million units of national currency","1.099,98"
"Energy taxes","Slovakia","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,9"
"Energy taxes","Slovakia","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,93"
"Energy taxes","Slovakia","2013","Percentage of gross domestic product (GDP)","1,48"
"Energy taxes","Slovakia","2014","Million euro","1.171,8"
"Energy taxes","Slovakia","2014","Million units of national currency","1.171,8"
"Energy taxes","Slovakia","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,94"
"Energy taxes","Slovakia","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,97"
"Energy taxes","Slovakia","2014","Percentage of gross domestic product (GDP)","1,54"
"Energy taxes","Slovakia","2015","Million euro","1.229,53"
"Energy taxes","Slovakia","2015","Million units of national currency","1.229,53"
"Energy taxes","Slovakia","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,83"
"Energy taxes","Slovakia","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,86"
"Energy taxes","Slovakia","2015","Percentage of gross domestic product (GDP)","1,55"
"Energy taxes","Slovakia","2016","Million euro","1.300,29"
"Energy taxes","Slovakia","2016","Million units of national currency","1.300,29"
"Energy taxes","Slovakia","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,94"
"Energy taxes","Slovakia","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,98"
"Energy taxes","Slovakia","2016","Percentage of gross domestic product (GDP)","1,6"
"Energy taxes","Slovakia","2017","Million euro","1.328,94"
"Energy taxes","Slovakia","2017","Million units of national currency","1.328,94"
"Energy taxes","Slovakia","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,72"
"Energy taxes","Slovakia","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,75"
"Energy taxes","Slovakia","2017","Percentage of gross domestic product (GDP)","1,57"
"Energy taxes","Finland","1995","Million euro","2.134,99"
"Energy taxes","Finland","1995","Million units of national currency","2.049,82"
"Energy taxes","Finland","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,61"
"Energy taxes","Finland","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,67"
"Energy taxes","Finland","1995","Percentage of gross domestic product (GDP)","2,08"
"Energy taxes","Finland","1996","Million euro","2.153,53"
"Energy taxes","Finland","1996","Million units of national currency","2.110,94"
"Energy taxes","Finland","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,47"
"Energy taxes","Finland","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,53"
"Energy taxes","Finland","1996","Percentage of gross domestic product (GDP)","2,07"
"Energy taxes","Finland","1997","Million euro","2.510,13"
"Energy taxes","Finland","1997","Million units of national currency","2.482,66"
"Energy taxes","Finland","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,93"
"Energy taxes","Finland","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,99"
"Energy taxes","Finland","1997","Percentage of gross domestic product (GDP)","2,24"
"Energy taxes","Finland","1998","Million euro","2.541,63"
"Energy taxes","Finland","1998","Million units of national currency","2.557,35"
"Energy taxes","Finland","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,7"
"Energy taxes","Finland","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,74"
"Energy taxes","Finland","1998","Percentage of gross domestic product (GDP)","2,12"
"Energy taxes","Finland","1999","Million euro","2.710,94"
"Energy taxes","Finland","1999","Million units of national currency","2.710,94"
"Energy taxes","Finland","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,79"
"Energy taxes","Finland","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,83"
"Energy taxes","Finland","1999","Percentage of gross domestic product (GDP)","2,14"
"Energy taxes","Finland","2000","Million euro","2.628,44"
"Energy taxes","Finland","2000","Million units of national currency","2.628,44"
"Energy taxes","Finland","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,19"
"Energy taxes","Finland","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,21"
"Energy taxes","Finland","2000","Percentage of gross domestic product (GDP)","1,93"
"Energy taxes","Finland","2001","Million euro","2.720,25"
"Energy taxes","Finland","2001","Million units of national currency","2.720,25"
"Energy taxes","Finland","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,35"
"Energy taxes","Finland","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,36"
"Energy taxes","Finland","2001","Percentage of gross domestic product (GDP)","1,88"
"Energy taxes","Finland","2002","Million euro","2.853,9"
"Energy taxes","Finland","2002","Million units of national currency","2.853,9"
"Energy taxes","Finland","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,43"
"Energy taxes","Finland","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,44"
"Energy taxes","Finland","2002","Percentage of gross domestic product (GDP)","1,92"
"Energy taxes","Finland","2003","Million euro","2.882"
"Energy taxes","Finland","2003","Million units of national currency","2.882"
"Energy taxes","Finland","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,47"
"Energy taxes","Finland","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,49"
"Energy taxes","Finland","2003","Percentage of gross domestic product (GDP)","1,9"
"Energy taxes","Finland","2004","Million euro","2.956"
"Energy taxes","Finland","2004","Million units of national currency","2.956"
"Energy taxes","Finland","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,44"
"Energy taxes","Finland","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,46"
"Energy taxes","Finland","2004","Percentage of gross domestic product (GDP)","1,87"
"Energy taxes","Finland","2005","Million euro","2.927"
"Energy taxes","Finland","2005","Million units of national currency","2.927"
"Energy taxes","Finland","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,21"
"Energy taxes","Finland","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,23"
"Energy taxes","Finland","2005","Percentage of gross domestic product (GDP)","1,78"
"Energy taxes","Finland","2006","Million euro","2.986"
"Energy taxes","Finland","2006","Million units of national currency","2.986"
"Energy taxes","Finland","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,09"
"Energy taxes","Finland","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,1"
"Energy taxes","Finland","2006","Percentage of gross domestic product (GDP)","1,73"
"Energy taxes","Finland","2007","Million euro","2.961"
"Energy taxes","Finland","2007","Million units of national currency","2.961"
"Energy taxes","Finland","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,81"
"Energy taxes","Finland","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,82"
"Energy taxes","Finland","2007","Percentage of gross domestic product (GDP)","1,59"
"Energy taxes","Finland","2008","Million euro","3.215"
"Energy taxes","Finland","2008","Million units of national currency","3.215"
"Energy taxes","Finland","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,02"
"Energy taxes","Finland","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,03"
"Energy taxes","Finland","2008","Percentage of gross domestic product (GDP)","1,66"
"Energy taxes","Finland","2009","Million euro","3.102"
"Energy taxes","Finland","2009","Million units of national currency","3.102"
"Energy taxes","Finland","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,17"
"Energy taxes","Finland","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,19"
"Energy taxes","Finland","2009","Percentage of gross domestic product (GDP)","1,71"
"Energy taxes","Finland","2010","Million euro","3.222"
"Energy taxes","Finland","2010","Million units of national currency","3.222"
"Energy taxes","Finland","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,21"
"Energy taxes","Finland","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,22"
"Energy taxes","Finland","2010","Percentage of gross domestic product (GDP)","1,72"
"Energy taxes","Finland","2011","Million euro","3.928"
"Energy taxes","Finland","2011","Million units of national currency","3.928"
"Energy taxes","Finland","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,73"
"Energy taxes","Finland","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,75"
"Energy taxes","Finland","2011","Percentage of gross domestic product (GDP)","2"
"Energy taxes","Finland","2012","Million euro","4.007"
"Energy taxes","Finland","2012","Million units of national currency","4.007"
"Energy taxes","Finland","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,68"
"Energy taxes","Finland","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,7"
"Energy taxes","Finland","2012","Percentage of gross domestic product (GDP)","2,01"
"Energy taxes","Finland","2013","Million euro","3.975"
"Energy taxes","Finland","2013","Million units of national currency","3.975"
"Energy taxes","Finland","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,47"
"Energy taxes","Finland","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,48"
"Energy taxes","Finland","2013","Percentage of gross domestic product (GDP)","1,95"
"Energy taxes","Finland","2014","Million euro","4.001"
"Energy taxes","Finland","2014","Million units of national currency","4.001"
"Energy taxes","Finland","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,43"
"Energy taxes","Finland","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,44"
"Energy taxes","Finland","2014","Percentage of gross domestic product (GDP)","1,95"
"Energy taxes","Finland","2015","Million euro","4.167"
"Energy taxes","Finland","2015","Million units of national currency","4.167"
"Energy taxes","Finland","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,51"
"Energy taxes","Finland","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,53"
"Energy taxes","Finland","2015","Percentage of gross domestic product (GDP)","1,98"
"Energy taxes","Finland","2016","Million euro","4.552"
"Energy taxes","Finland","2016","Million units of national currency","4.552"
"Energy taxes","Finland","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,77"
"Energy taxes","Finland","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,79"
"Energy taxes","Finland","2016","Percentage of gross domestic product (GDP)","2,11"
"Energy taxes","Finland","2017","Million euro","4.454"
"Energy taxes","Finland","2017","Million units of national currency","4.454"
"Energy taxes","Finland","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,58"
"Energy taxes","Finland","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,59"
"Energy taxes","Finland","2017","Percentage of gross domestic product (GDP)","1,99"
"Energy taxes","Sweden","1995","Million euro","4.664,43"
"Energy taxes","Sweden","1995","Million units of national currency","43.528"
"Energy taxes","Sweden","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,95"
"Energy taxes","Sweden","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,01"
"Energy taxes","Sweden","1995","Percentage of gross domestic product (GDP)","2,31"
"Energy taxes","Sweden","1996","Million euro","5.863,74"
"Energy taxes","Sweden","1996","Million units of national currency","49.928"
"Energy taxes","Sweden","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,29"
"Energy taxes","Sweden","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,35"
"Energy taxes","Sweden","1996","Percentage of gross domestic product (GDP)","2,58"
"Energy taxes","Sweden","1997","Million euro","5.719,32"
"Energy taxes","Sweden","1997","Million units of national currency","49.479"
"Energy taxes","Sweden","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,99"
"Energy taxes","Sweden","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,04"
"Energy taxes","Sweden","1997","Percentage of gross domestic product (GDP)","2,45"
"Energy taxes","Sweden","1998","Million euro","5.918,08"
"Energy taxes","Sweden","1998","Million units of national currency","52.765"
"Energy taxes","Sweden","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,05"
"Energy taxes","Sweden","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,09"
"Energy taxes","Sweden","1998","Percentage of gross domestic product (GDP)","2,48"
"Energy taxes","Sweden","1999","Million euro","5.995"
"Energy taxes","Sweden","1999","Million units of national currency","52.801"
"Energy taxes","Sweden","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,76"
